"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"COX6A1P2.10",2.5902850880403e-20,-0.266252789702516,0.149,0.265,4.78917809927772e-16,"13","COX6A1P2"
"LYZ.11",3.16699375776229e-20,-0.515471335031358,0.094,0.207,5.85545475872669e-16,"13","LYZ"
"HNRNPAB.9",4.00368661586408e-20,-0.262380867793023,0.094,0.207,7.40241618407109e-16,"13","HNRNPAB"
"OAZ1.11",7.3480263728079e-20,-0.394986663754491,0.434,0.508,1.35857659606845e-15,"13","OAZ1"
"LSM7.9",8.36812170393981e-20,-0.255190406505844,0.159,0.277,1.54718202184143e-15,"13","LSM7"
"SERBP1.12",1.03676474185374e-19,-0.488322840342492,0.221,0.332,1.91687433121338e-15,"13","SERBP1"
"EIF3J.10",1.55928073001119e-19,-0.287248132387966,0.126,0.239,2.88295414171769e-15,"13","EIF3J"
"CSTB.10",2.0149367294305e-19,-0.288590345291519,0.167,0.282,3.72541651904406e-15,"13","CSTB"
"LTA.10",2.05416148003924e-19,-0.323799563726284,0.119,0.233,3.79793916044455e-15,"13","LTA"
"CHCHD2.10",3.60765559592312e-19,-0.450366003214634,0.332,0.426,6.67019443130225e-15,"13","CHCHD2"
"TPI1.10",5.17244805562056e-19,-0.386720377679413,0.311,0.41,9.56333921003686e-15,"13","TPI1"
"PRELID1.9",5.49107534565395e-19,-0.256110592112108,0.163,0.275,1.01524492065796e-14,"13","PRELID1"
"ATP5G1.9",6.9138576030476e-19,-0.258716001335606,0.136,0.248,1.27830313222747e-14,"13","ATP5G1"
"SNRPF.10",7.80038422689221e-19,-0.345831236110282,0.178,0.289,1.4422130397101e-14,"13","SNRPF"
"HSPE1.12",9.1160261106864e-19,-0.586709101851325,0.321,0.417,1.68546206760481e-14,"13","HSPE1"
"MRPL20.9",1.63163900633035e-18,-0.260083250319003,0.151,0.262,3.01673735880418e-14,"13","MRPL20"
"ATP5J2.10",1.66034995790601e-18,-0.310240887670639,0.258,0.36,3.06982103717243e-14,"13","ATP5J2"
"NDUFB2.10",2.15324421797863e-18,-0.265838051540788,0.21,0.321,3.98113323462068e-14,"13","NDUFB2"
"PFDN2.9",2.60393699275223e-18,-0.250541548949043,0.122,0.232,4.81441910589959e-14,"13","PFDN2"
"TXN.11",3.78734384973754e-18,-0.54061211998835,0.317,0.407,7.00242004377975e-14,"13","TXN"
"ATP5J.10",3.83158297581853e-18,-0.308217417075495,0.224,0.329,7.08421376399087e-14,"13","ATP5J"
"SSBP1.10",4.01403737611332e-18,-0.283854211272999,0.169,0.279,7.42155370469591e-14,"13","SSBP1"
"COX6A1.10",4.20456765152096e-18,-0.305678426628167,0.238,0.341,7.7738251308971e-14,"13","COX6A1"
"PSMB1.10",5.10939220128699e-18,-0.294034240933239,0.218,0.326,9.44675524095952e-14,"13","PSMB1"
"NHP2.10",5.50231856600141e-18,-0.277947321643398,0.139,0.247,1.017323679668e-13,"13","NHP2"
"UQCRQ.10",6.40853238952382e-18,-0.395288413867022,0.298,0.392,1.18487355349906e-13,"13","UQCRQ"
"USMG5.10",8.25752081121649e-18,-0.377167694485187,0.291,0.387,1.52673302278582e-13,"13","USMG5"
"S100A4.9",1.27855288272238e-17,-0.36061186464193,0.199,0.31,2.36391642486541e-13,"13","S100A4"
"PSME2.11",1.29638711255121e-17,-0.430737735128819,0.325,0.412,2.39689013239594e-13,"13","PSME2"
"TMEM258.10",1.4415497664379e-17,-0.293116601895769,0.279,0.374,2.66528136316704e-13,"13","TMEM258"
"HMGN1.9",1.4925737604753e-17,-0.270280749530682,0.184,0.291,2.75961962574279e-13,"13","HMGN1"
"SNRPB.10",1.78953702303287e-17,-0.262460513876771,0.156,0.264,3.30867500188548e-13,"13","SNRPB"
"CALM2.11",3.08950371308987e-17,-0.316381726785347,0.326,0.412,5.71218341513186e-13,"13","CALM2"
"HSPD1.10",3.14821135344932e-17,-0.413626196512004,0.204,0.306,5.82072797139245e-13,"13","HSPD1"
